name,latitude,longitude
Rafal,,
Real de Gandía,38.95022,-0.19512
Rebolledo,38.34516,-0.61384
Recajo,42.449398,-2.33979
Regencós,41.95118,3.17052
Reinosa,43.00264,-4.1339
Remolinos,41.835611,-1.175927
Requena,39.4706,-1.00944
Reus,41.1382,1.1335
REUS (TARRAGONA),,
Riba-roja de Túria,39.471655,-0.536726
Rincón de Soto,42.22817,-1.84633
Ripoll,42.202806,2.183539
Ripollet,41.4988,2.1415
Riudellots de la Selva,41.89735,2.81066
Roda de Berà,41.177188,1.479298
Roda de Ter,41.971135,2.299447
Rojales,38.088877,-0.715907
Roquetes,40.810494,0.509636
Roses,42.26944,3.15696
Rubí,41.50668,2.037803
Sabadell,41.5301,2.103941
Sabiñánigo,42.52092,-0.35367
Sagunto,39.67523,-0.26441
Salamanca,,
Salou,41.07597454,1.140669787
Salt,41.97278,2.79184
San Antonio de Benagéber,39.55555,-0.489611
San Fernando,36.47573551,-6.193406656
San Fernando de Henares,,
San Isidro de Níjar,36.90688,-2.174598
San Javier,37.80219,-0.82477
San Juan de Alicante,38.39278,-0.42341
San Juan de Aznalfarache,,
Sanlúcar de Barrameda,36.75437,-6.327953
Sanlúcar La Mayor,37.389543,-6.203933
San Mateo de Gállego,41.82457,-0.7739
San Miguel de Salinas,,
San Pedro del Pinatar,37.8259,-0.805816
San Roque del Acebal,43.40258,-4.73999
San Sebastián,,
San Sebastián de los Reyes,40.59107,-3.58338
Santa Coloma de Cervelló,41.368332,2.021372
Santa Coloma de Farners,41.86987,2.66375
Santa Coloma de Gramenet,41.45346,2.19825
Sant Adrià de Besòs,41.429619,2.224409
Santa Llogaia d'Alguemà,42.230501,2.957785
Santa Margarida de Montbui,41.57121,1.60917
Santa María del Tiétar,40.302293,-4.543201
Santa Maria de Palautordera,41.68613,2.47202
Santander,43.458869,-3.811065
Sant Andreu de la Barca,41.44344,1.98132
Sant Andreu de Llavaneres,41.55525,2.49654
Sant Antoni de Calonge,41.826011,3.080283
Santa Perpètua de Mogoda,41.519731,2.19636
Santa Pola,38.19287241,-0.557907325
Santa Susanna,,
Sant Boi de Llobregat,41.334716,2.04542
Sant Carles de la Ràpita,40.63699,0.589061
Sant Celoni,41.68133,2.48677
Sant Climent de Llobregat,41.337657,1.997859
Sant Cugat,,
Sant Cugat del Vallès,41.46862,2.03222
Sant Esteve Sesrovires,41.47878,1.88223
Sant Feliu de Codines,41.67968,2.16444
Sant Feliu de Guíxols,41.78248,3.03563
Sant Feliu de Llobregat,41.45406766,2.218764444
Sant Fruitós de Bages,41.742058,1.854471
Sant Hilari de Sacalm,41.876341,2.512624
Santiago de Compostela,42.87083,-8.544788
Sant Joan d.Alacant,,
Sant Joan de les Abadesses,42.24297,2.31004
Sant Joan Despí,41.36273,2.05811
Sant Joan de Vilatorrada,41.7537,1.8009
Sant Julià de Ramis,42.02518,2.82735
Sant Just Desvern,41.378296,2.079018
Santomera,38.070642,-1.024808
Santpedor,41.78012,1.83941
Sant Pere de Ribes,41.257152,1.773053
Sant Pere de Torelló,42.070439,2.289605
Sant Pere Pescador,42.19173,3.0822
Sant Pol de Mar,41.60803,2.60558
Sant Quirze de Besora,42.101068,2.217146
Sant Quirze del Vallès,41.53365,2.09678
Sant Sadurní d'Anoia,41.42235,1.79008
Sant Salvador de Guardiola,41.70168,1.79401
Sant Vicenç de Calders,,
Sant Vicenç de Castellet,41.66946,1.85434
Sant Vicenç dels Horts,41.38293,1.99801
Sant Vicenç de Montalt,41.5611,2.50871
Sant Vicent del Raspeig,,
San Vicente,,
Segorbe,39.841176,-0.475084
Segovia,40.95648,-4.10755
Senegüé,42.549152,-0.345662
